"ip_type","work_title","aliases","landmark_name","country_code","country_name","province_name","city_name","district_name","normalized_address","latitude","longitude","description","transit_text","landmark_kind","source_url","source_publisher","source_title","source_type","accessed_at","license_note","claim_scope"
"literature","朝花夕拾","从百草园到三味书屋","百草园与三味书屋","CN","中国","浙江省","绍兴市","越城区","浙江省绍兴市越城区鲁迅中路241号","","","在作品中的重要地位：百草园与三味书屋是《从百草园到三味书屋》从童年自由走向启蒙教育的两组核心空间。
主要出现的情节：叙述者先在百草园观察草木、昆虫和传说，再进入三味书屋读书，空间转换承载了童年记忆与学习生活。
现实地标介绍：两处位于绍兴鲁迅故里景区，保留了与鲁迅少年生活相关的院落和书塾格局。","","作品场景","https://ct.zj.gov.cn/art/2024/3/20/art_1652992_59019865.html","浙江省文化和旅游厅","鲁迅故里撤除隔离栅栏，让游客更近一点","official","2026-08-10T12:00:00+08:00","","work_association"
"literature","子夜","","外白渡桥","CN","中国","上海市","上海市","黄浦区与虹口区交界","上海市黄浦区中山东一路与虹口区北苏州路交界","","","在作品中的重要地位：外白渡桥处在《子夜》开篇所呈现的上海城市动线中，是观察都市资本、交通与人群的标志性节点。
主要出现的情节：小说开场的行车路线穿过桥区并进入苏州河、外滩一带，为吴荪甫等人物所处的都市世界奠定了空间背景。
现实地标介绍：外白渡桥横跨苏州河河口，连接黄浦与虹口，是上海保留至今的近代钢结构桥梁。","","作品场景","https://www.aisixiang.com/data/94776.html","爱思想","王中忱：重读茅盾的《子夜》","secondary","2026-08-10T12:00:00+08:00","","work_association"
"literature","边城","茶峒","边城茶峒古镇","CN","中国","湖南省","湘西土家族苗族自治州","花垣县","湖南省湘西土家族苗族自治州花垣县边城镇茶峒社区","","","在作品中的重要地位：茶峒是《边城》最重要的现实原型地，渡口、河流和边地人情共同构成翠翠故事的空间基础。
主要出现的情节：翠翠与祖父摆渡，天保、傩送围绕婚事展开的来往，以及端午龙舟等场面，都与河街和渡口的生活相连。
现实地标介绍：茶峒古镇位于湘西花垣县边城镇，临清水江，现仍可见边地集镇与渡口景观。","","现实原型","https://www.chinawriter.com.cn/n1/2025/0408/c403994-40455143.html","中国作家网","从文学地标到旅行热土","institutional","2026-08-10T12:00:00+08:00","","work_prototype"
"literature","我与地坛","","地坛公园","CN","中国","北京市","北京市","东城区","北京市东城区安定门外大街地坛公园","","","在作品中的重要地位：地坛是《我与地坛》的题名之地，也是作者面对病痛、时间与生命意义时反复回到的精神现场。
主要出现的情节：作品写到作者长期在园中独处、观察古园四季，并由此回忆母亲，展开关于生存与亲情的思考。
现实地标介绍：地坛公园位于北京东城，以明清祭祀建筑和古树园景为主体，是北京重要的历史园林。","","作品场景","https://www.chinawriter.com.cn/GB/n1/2017/0821/c404018-29483115.html","中国作家网","史铁生：死是一个必然会降临的节日","institutional","2026-08-10T12:00:00+08:00","","work_association"
"literature","额尔古纳河右岸","","额尔古纳河右岸","CN","中国","内蒙古自治区","呼伦贝尔市","额尔古纳市","内蒙古自治区呼伦贝尔市额尔古纳市额尔古纳河沿岸","","","在作品中的重要地位：额尔古纳河右岸是小说叙述鄂温克族生活、迁徙与代际记忆的核心地理背景。
主要出现的情节：人物随季节、驯鹿和生活资源在林地与河岸间迁徙，河流两岸的自然环境贯穿家族兴衰与生活变迁。
现实地标介绍：额尔古纳河位于中俄边境地区，右岸沿线分布森林、湿地与草原，应按自然保护和边境管理要求访问。","","自然地标","https://www.bph.com.cn/maodun/detail/2374.html","北京出版集团","额尔古纳河右岸","publisher","2026-08-10T12:00:00+08:00","","work_association"
"literature","巴黎圣母院","钟楼怪人","巴黎圣母院","FR","法国","法兰西岛大区","巴黎","第四区","6 Parvis Notre-Dame - Place Jean-Paul II；75004 Paris France","","","在作品中的重要地位：巴黎圣母院既是小说标题所指建筑，也是人物命运、宗教权力与城市历史想象交汇的中心。
主要出现的情节：爱斯梅拉达、卡西莫多和克洛德的关键相遇、庇护与冲突围绕教堂及其钟楼展开。
现实地标介绍：巴黎圣母院坐落于巴黎西岱岛，是法国哥特式建筑代表，参观安排以教堂官方开放信息为准。","","作品场景","https://www.france.fr/zh-Hans/article/45814/","法国国家旅游机构","巴黎圣母院","official","2026-08-10T12:00:00+08:00","","work_association"
"literature","基督山伯爵","","伊夫堡","FR","法国","普罗旺斯-阿尔卑斯-蓝色海岸大区","马赛","第七区","Château d'If；Île d'If；13007 Marseille France","","","在作品中的重要地位：伊夫堡是唐泰斯命运被彻底改写的囚禁地，也是复仇叙事的起点。
主要出现的情节：唐泰斯被诬陷后囚于堡内，在狱中结识法利亚神父、获得宝藏线索，并为日后的逃脱与复仇埋下伏笔。
现实地标介绍：伊夫堡位于马赛外海小岛，原为海防要塞，现以历史遗址和文学关联吸引游客。","","作品场景","https://www.chinawriter.com.cn/n1/2016/1206/c404091-28929266.html","中国作家网","大仲马与伊夫堡","institutional","2026-08-10T12:00:00+08:00","","work_association"
"literature","尤利西斯","Ulysses","桑迪科夫马特洛塔","IE","爱尔兰","伦斯特省","都柏林","桑迪科夫","James Joyce Tower & Museum；Sandycove Point；Dún Laoghaire；County Dublin Ireland","","","在作品中的重要地位：马特洛塔是《尤利西斯》开篇的发生地，确立了斯蒂芬与巴克·穆利根的关系张力。
主要出现的情节：小说首章写斯蒂芬在塔楼清晨醒来、与穆利根交谈并离开住处，由此启动一天的都柏林行程。
现实地标介绍：桑迪科夫马特洛塔位于都柏林湾岸，乔伊斯曾短住于此，现设有乔伊斯塔博物馆。","","作品场景","https://www.dublincityofliterature.ie/literary-city/discover-literary-dublin/sandycove-martello-tower","都柏林文学之城","桑迪科夫马特洛塔","official","2026-08-10T12:00:00+08:00","","work_association"
"literature","达·芬奇密码","The Da Vinci Code","卢浮宫","FR","法国","法兰西岛大区","巴黎","第一区","Rue de Rivoli；75001 Paris France","","","在作品中的重要地位：卢浮宫是《达·芬奇密码》谜案调查的起点，艺术品与建筑空间被用作线索叙事的载体。
主要出现的情节：案件在馆内发生，兰登和索菲围绕馆藏、密码与追踪路线展开调查，继而离开巴黎继续寻找答案。
现实地标介绍：卢浮宫位于巴黎塞纳河右岸，是世界重要博物馆；小说情节为虚构，参观应以馆方展陈与规则为准。","","作品场景","https://www.lemonde.fr/archives/article/2004/09/09/da-vinci-code-faux-mysteres-vrai-succes_378472_1819218.html","Le Monde","Da Vinci Code：虚构谜团与真实成功","reputable_media","2026-08-10T12:00:00+08:00","","work_association"
"literature","莫斯科绅士","A Gentleman in Moscow","莫斯科大都会酒店","RU","俄罗斯","莫斯科直辖市","莫斯科","特维尔区","Teatralny Proyezd 2；Moscow Russia","","","在作品中的重要地位：大都会酒店是《莫斯科绅士》的主要叙事容器，伯爵被限制居住于此后，人生在酒店内部重新展开。
主要出现的情节：主人公从豪华套房迁至阁楼小房间，与员工、孩子和住客建立关系，并在酒店见证时代变化。
现实地标介绍：莫斯科大都会酒店位于剧院广场附近，是一座具有新艺术风格装饰的历史酒店。","","作品场景","https://www.prnewswire.com/news-releases/hotel-metropol-reveals-secrets-of-the-russian-aristocracy-with-a-gentleman-in-moscow-book-tour-300921540.html","Hotel Metropol Moscow","Hotel Metropol book tour press release","first_party","2026-08-10T12:00:00+08:00","","work_association"
